invader_id,city_code,points,gt_lat,gt_lng,gt_source,confidence,n_street_signs,n_shop_signs,n_landmarks,n_building_numbers,n_metro_bus,n_other_clues,n_total_clues,has_district,has_postcode,has_address,reasoning_length,address_length,address_has_number,address_has_business,address_n_business,signs_total_business,geo_success,geo_lat,geo_lng,distance_to_center_km,distance_to_district_km,district_geocodes,city_coherent,error_km,error_class,best_address_guess,district,street_signs,shop_signs,landmarks
PA_1339,PA,50,48.8450918496,2.4316430838,,HIGH,1,1,0,0,0,6,8,1,1,1,412,26,0,0,0,0,1,48.8644647,2.3717367,1.676,0.89,1,1,4.8837,ZONE,"Rue Oberkampf, 75011 Paris",11e arrondissement,RUE OBERKAMPF,ALIMENTATION GENERALE,
PA_856,PA,30,48.8864974738,2.341324447,,MEDIUM,0,0,0,0,0,6,6,1,1,1,444,60,0,1,1,0,1,48.8874122,2.3461607,3.455,1.468,1,1,0.3679,GOOD,"Rue du Chevalier de la Barre ou rues adjacentes, 75018 Paris","Montmartre, 18e arrondissement",,,
PA_178,PA,30,48.8746291366,2.3059271694,,MEDIUM,0,2,0,0,0,4,6,1,0,1,463,42,0,0,0,0,1,48.8520794,2.3731335,1.612,,0,1,5.5187,ZONE,"Rue du Faubourg Saint-Antoine, 75011 Paris","Faubourg Saint-Antoine, 11e ou 12e arrondissement",,Le Pain du Faubourg|Boulanger,
PA_993,PA,30,48.8767296962,2.4089813717,,LOW,0,0,0,0,0,8,8,1,0,1,538,57,0,0,0,0,1,48.8609527,2.4004678,3.564,,0,1,1.8616,APPROX,"Rue des Pyrénées ou Boulevard Mortier, 20e arrondissement","Périphérie nord-est de Paris, probablement 19e ou 20e arrondissement",,,
PA_463,PA,50,48.8624750418,2.3386983324,,LOW,0,0,0,0,0,6,6,1,0,1,453,50,0,0,0,0,1,48.857218,2.3526354,0.076,,0,1,1.1753,APPROX,"Rue de Rivoli ou Place Vendôme, 1er arrondissement","Centre historique (1er, 2e, 3e ou 4e arrondissement)",,,
PA_186,PA,10,48.8546227457,2.3366010789,,HIGH,1,0,0,0,0,4,5,1,1,1,438,22,0,0,0,0,1,48.8555259,2.3338807,1.346,0.134,1,1,0.2229,GOOD,"Rue Jacob, 75006 Paris",6e arrondissement (Saint-Germain-des-Prés),RUE JACOB,,
PA_445,PA,10,48.8803697499,2.3607340261,,LOW,0,0,0,0,0,6,6,1,0,1,435,68,0,0,0,0,1,48.8369028,2.3729055,2.663,,0,1,4.9146,ZONE,"Avenue Daumesnil ou Boulevard Vincent-Auriol, 12e/13e arrondissement",12e ou 13e arrondissement,,,
PA_92,PA,10,48.8603547297,2.3473292059,,HIGH,1,0,1,1,0,5,8,1,1,1,398,36,1,0,0,0,1,48.8603349,2.3473434,0.547,1.06,1,1,0.0024,EXCELLENT,"8 rue de la Ferronnerie, 75001 Paris",1er arrondissement,RUE DE LA FERRONNERIE,,Arcades style Place des Vosges ou similaire
PA_1434,PA,30,48.8552901776,2.4325750202,,MEDIUM,0,1,0,0,0,4,5,1,0,1,481,40,0,0,0,0,1,48.864819,2.3733716,1.798,0.849,1,1,4.4588,ZONE,"Rue Oberkampf, 11e arrondissement, Paris",11e arrondissement,,ARMONY,
PA_55,PA,10,48.8276214287,2.3530220144,,MEDIUM,0,2,0,0,0,5,7,1,0,1,335,31,0,0,0,0,1,48.8644695,2.3689292,1.504,1.036,1,1,4.2595,ZONE,"Boulevard Voltaire, 75011 Paris",11e arrondissement,,NICOLAS|Boul. Voltaire - Pâtisserie,
PA_443,PA,10,48.8761813678,2.3811833534,,HIGH,0,0,1,0,0,6,7,1,1,1,438,53,0,0,0,0,1,48.8843307,2.3221064,3.788,0.0,1,1,4.4141,ZONE,"Square des Batignolles, Avenue de Clichy, 75017 Paris",17e arrondissement,,,Square des Batignolles
PA_1023,PA,50,48.8571434789,2.3574541668,,MEDIUM,0,2,0,0,0,7,9,1,0,1,546,37,0,0,0,0,1,48.8581725,2.3596941,0.575,,0,1,0.1999,GOOD,"Rue des Francs-Bourgeois, 75004 Paris",1er ou 4e arrondissement (Marais/Centre),,UGG|CHEVIGNON,
PA_180,PA,20,48.8511406292,2.3319739157,,LOW,0,0,0,0,0,7,7,1,0,1,486,54,0,1,1,0,1,48.8573232,2.3624734,0.756,,0,1,2.335,APPROX,"Rue du quartier du Temple ou Marais, 3e arrondissement",3e ou 11e arrondissement,,,
PA_108,PA,30,48.8594157495,2.2937434222,,HIGH,1,0,1,0,0,5,7,1,1,1,405,24,0,0,0,0,1,48.859722,2.2922318,4.401,1.476,1,1,0.1157,GOOD,"Pont d'Iéna, 75007 Paris",7e arrondissement,PONT D'IÉNA,,Pont d'Iéna
PA_804,PA,20,48.8206783761,2.3756290167,,MEDIUM,0,0,0,1,0,5,6,1,1,1,526,35,1,0,0,0,1,48.8603985,2.3503926,0.443,,0,1,4.7873,ZONE,"6 rue Aubry-le-Boucher, 75004 Paris",4e arrondissement (quartier Beaubourg/Centre Pompidou),,,
PA_1525,PA,100,48.831308,2.353958,,MEDIUM,0,0,0,0,0,5,5,1,0,1,568,43,0,0,0,0,1,48.8349308,2.3615359,2.504,0.462,1,1,0.6855,OK,"Rue Jeanne d'Arc, 13e arrondissement, Paris",13e arrondissement,,,
PA_741,PA,30,48.8822277496,2.3705596314,,MEDIUM,0,0,0,2,0,6,8,1,0,1,447,33,1,0,0,0,1,48.8258728,2.3599879,3.464,0.852,1,1,6.3139,ZONE,"121 Avenue de Choisy, 75013 Paris",13e arrondissement,,,
PA_303,PA,10,48.8268026618,2.3506983898,,HIGH,1,0,1,0,0,5,7,1,1,1,435,27,0,0,0,1,1,48.8272702,2.3505079,3.264,2.931,1,1,0.0538,EXCELLENT,"Passage Boiton, 75012 Paris",12e arrondissement,PASSAGE BOITON,,Église du Saint-Esprit
PA_723,PA,10,48.8813406248,2.3274481096,,MEDIUM,0,1,0,0,0,4,5,1,0,1,416,56,0,0,0,0,1,48.8321299,2.3500205,2.726,,0,1,5.7157,ZONE,"Rue dans le 3e ou 4e arrondissement, proximité du Marais","Quartier du Marais ou Saint-Germain-des-Prés (arrondissements 3e, 4e, 6e ou 7e)",,LE VAISSEAU VERT,
PA_1069,PA,20,48.8681808909,2.3880594332,,HIGH,1,2,1,0,0,5,9,1,0,1,393,29,0,0,0,2,1,48.8633759,2.4019273,3.715,0.429,1,1,1.1465,APPROX,"Rue des Prairies, 75020 Paris",20e arrondissement,Rue des Prairies,Restaurant TURC DONER BURGER|GRILL KEBAB Restaurant DONER BUR...,Vingtième Théâtre
PA_1110,PA,50,48.8457393431,2.4138388128,,LOW,0,0,0,0,0,7,7,1,0,1,491,76,0,0,0,0,1,48.8330485,2.3559122,2.633,0.0,1,1,4.4681,ZONE,"Boulevard Périphérique, secteur Porte d'Ivry ou Porte de Choisy, 75013 Paris",13e arrondissement,,,
PA_271,PA,10,48.8690897468,2.3774788452,,LOW,0,0,0,0,0,7,7,1,0,1,474,68,0,0,0,0,1,48.83495,2.3681023,2.674,0.917,1,1,3.8577,ZONE,"13e arrondissement de Paris, secteur Butte-aux-Cailles ou Chevaleret",13e arrondissement,,,
PA_206,PA,20,48.883499396,2.3274004051,,HIGH,0,0,1,0,0,6,7,1,1,1,446,33,0,0,0,0,1,48.8526196,2.3687761,1.291,1.027,1,1,4.577,ZONE,"Place de la Bastille, 75011 Paris",11e arrondissement,,,Colonne monumentale avec bas-reliefs sculptés
