invader_id,city_code,points,gt_lat,gt_lng,gt_source,confidence,n_street_signs,n_shop_signs,n_landmarks,n_building_numbers,n_metro_bus,n_other_clues,n_total_clues,has_district,has_postcode,has_address,reasoning_length,address_length,address_has_number,address_has_business,address_n_business,signs_total_business,geo_success,geo_lat,geo_lng,distance_to_center_km,distance_to_district_km,district_geocodes,city_coherent,error_km,error_class,best_address_guess,district,street_signs,shop_signs,landmarks
PA_1339,PA,50,48.8450918496,2.4316430838,,HIGH,1,1,0,0,0,5,7,1,1,1,427,26,0,0,0,0,1,48.8827242,2.3858813,3.809,0.18,1,1,5.3587,ZONE,"Rue de Crimée, 75019 Paris",19e arrondissement,RUE DE CRIMEE,ALIMENTATION GENERALE,
PA_856,PA,30,48.8864974738,2.341324447,,MEDIUM,0,0,0,0,0,7,7,1,1,1,511,41,0,1,1,0,1,48.8874122,2.3461607,3.455,0.24,1,1,0.3679,GOOD,"Rue du Chevalier de la Barre, 75018 Paris",18e arrondissement (Montmartre),,,
PA_178,PA,30,48.8746291366,2.3059271694,,MEDIUM,0,2,0,0,0,5,7,1,0,1,616,42,0,0,0,0,1,48.8520794,2.3731335,1.612,,0,1,5.5187,ZONE,"Rue du Faubourg Saint-Antoine, 75011 Paris",10e ou 11e arrondissement (quartier Faubourg),,Le Pain du Faubourg|Boulanger,
PA_993,PA,30,48.8767296962,2.4089813717,,LOW,0,0,0,0,0,8,8,1,0,1,423,48,0,0,0,0,0,,,,,0,1,,NO_GEO,"Abords de la Petite Ceinture, 13e arrondissement",13e ou 14e arrondissement (zone périphérique sud de Paris),,,
PA_463,PA,50,48.8624750418,2.3386983324,,LOW,0,0,0,0,0,5,5,1,0,1,476,66,0,0,0,0,1,48.8590833,2.3465645,0.496,,0,1,0.688,OK,"Rue de Rivoli ou proximité Palais Royal/Louvre, 1er arrondissement","Centre de Paris, probablement 1er-4e arrondissement",,,
PA_186,PA,10,48.8546227457,2.3366010789,,HIGH,1,0,0,0,0,5,6,1,1,1,382,22,0,0,0,0,1,48.8555259,2.3338807,1.346,0.134,1,1,0.2229,GOOD,"Rue Jacob, 75006 Paris",6e arrondissement (Saint-Germain-des-Prés),RUE JACOB,,
PA_445,PA,10,48.8803697499,2.3607340261,,MEDIUM,0,0,0,0,0,6,6,1,0,1,495,29,0,0,0,0,1,48.8267427,2.3804692,3.912,1.929,1,1,6.1354,ZONE,"Avenue de France, 75013 Paris",13e arrondissement,,,
PA_92,PA,10,48.8603547297,2.3473292059,,HIGH,1,0,1,1,0,5,8,1,1,1,391,36,1,0,0,0,1,48.8603349,2.3473434,0.547,1.06,1,1,0.0024,EXCELLENT,"8 rue de la Ferronnerie, 75001 Paris",1er arrondissement,RUE DE LA FERRONNERIE,,Arcades à colonnes (architecture typique des Halles/Châtelet)
PA_1434,PA,30,48.8552901776,2.4325750202,,LOW,0,1,0,0,0,5,6,1,0,1,464,52,0,0,0,0,1,48.8646898,2.3726564,1.746,,0,1,4.5063,ZONE,"Quartier Oberkampf ou République, 11e arrondissement",3e ou 11e arrondissement,,ARMONY,
PA_55,PA,10,48.8276214287,2.3530220144,,LOW,0,2,0,0,0,7,9,1,0,1,365,68,0,0,0,0,0,,,,,0,1,,NO_GEO,Intersection proche d'une rue commerçante dans le 11e arrondissement,11e ou 20e arrondissement,,NICOLAS|Boul...Pâtisserie,
